"Recip_County","Recip_State","Month","Year","Total","Lat","Long","Cases"
"Bamberg County","SC",12,2020,0,33.203021,-81.053161,26228
"Bandera County","TX",12,2020,0,29.756389,-99.248285,13151
"Banks County","GA",12,2020,0,34.351922,-83.498441,31896
"Banner County","NE",12,2020,0,41.53975,-103.726263,657
"Bannock County","ID",12,2020,0,42.692921,-112.228982,175654
"Baraga County","MI",12,2020,0,46.695859,-88.36181,18361
"Barbour County","AL",12,2020,0,31.870253,-85.405104,40753
"Barbour County","WV",12,2020,0,39.139725,-79.996947,18207
"Barnes County","ND",12,2020,0,46.94255,-98.070195,36385
"Barnstable County","MA",12,2020,0,41.706123,-70.164823,130371
"Barnwell County","SC",12,2020,0,33.260552,-81.434228,36664
"Barron County","WI",12,2020,0,45.437192,-91.852892,129639
"Barrow County","GA",12,2020,0,33.992009,-83.712303,134694
"Barry County","MI",12,2020,0,42.582811,-85.31455,83055
"Barry County","MO",12,2020,0,36.699376,-93.834334,51033
"Bartholomew County","IN",12,2020,0,39.205843,-85.897999,145217
"Barton County","MO",12,2020,0,37.500799,-94.344089,21822
"Bartow County","GA",12,2020,0,34.240917,-84.838188,202007
"Bastrop County","TX",12,2020,0,30.100772,-97.310639,96985
"Bates County","MO",12,2020,0,38.257217,-94.339246,21336
"Bath County","VA",12,2020,0,38.068368,-79.731203,3206
"Baxter County","AR",12,2020,0,36.280268,-92.329949,54034
"Bay County","FL",12,2020,0,30.15914,-85.534395,315397
"Bay County","MI",12,2020,0,43.699711,-83.978701,172186
"Bayfield County","WI",12,2020,0,46.634199,-91.177282,26459
"Baylor County","TX",12,2020,0,33.618802,-99.208189,4169
"Beadle County","SD",12,2020,0,44.418265,-98.279422,75255
"Bear Lake County","ID",12,2020,0,42.285892,-111.327517,7246
"Beaufort County","NC",12,2020,0,35.482313,-76.842014,64857
"Beaufort County","SC",12,2020,0,32.358112,-80.689422,257081
"Beaver County","OK",12,2020,0,36.748334,-100.483056,8312
"Beaver County","PA",12,2020,0,40.68414,-80.350721,200852
"Beaver County","UT",12,2020,0,38.357535,-113.238948,8321
"Beaverhead County","MT",12,2020,0,45.133863,-112.892869,21333
"Becker County","MN",12,2020,0,46.937629,-95.741757,77183
"Beckham County","OK",12,2020,0,35.270601,-99.690057,51628
"Bedford County","PA",12,2020,0,39.998634,-78.494747,74197
"Bedford County","TN",12,2020,0,35.51366,-86.458294,116971
"Bedford County","VA",12,2020,0,37.312257,-79.527223,76563
"Bee County","TX",12,2020,0,28.416077,-97.742586,72498
"Belknap County","NH",12,2020,0,43.519109,-71.425366,41810
"Bell County","TX",12,2020,0,31.04275,-97.481268,331775
"Belmont County","OH",12,2020,0,40.017682,-80.967727,79809
"Beltrami County","MN",12,2020,0,47.879508,-95.00505,81532
"Ben Hill County","GA",12,2020,0,31.740772,-83.147197,39326
"Benewah County","ID",12,2020,0,47.218451,-116.633541,10944
"Bennett County","SD",12,2020,0,43.186912,-101.677181,10540
"Bennington County","VT",12,2020,0,43.035328,-73.111496,10550
"Benson County","ND",12,2020,0,48.071743,-99.351152,27986
"Bent County","CO",12,2020,0,37.931891,-103.077584,21743
"Benton County","AR",12,2020,0,36.337819,-94.256298,463420
"Benton County","IA",12,2020,0,42.092547,-92.05763,58232
"Benton County","IN",12,2020,0,40.600939,-87.314786,19214
"Benton County","MN",12,2020,0,45.701225,-94.00144,111519
"Benton County","MO",12,2020,0,38.301036,-93.287942,32108
"Benton County","MS",12,2020,0,34.809593,-89.200213,18033
"Benton County","OR",12,2020,0,44.493882,-123.424664,34260
"Benton County","TN",12,2020,0,36.070948,-88.071232,32004
"Benton County","WA",12,2020,0,46.228125,-119.516659,315697
"Benzie County","MI",12,2020,0,44.636844,-86.231999,17955
"Bergen County","NJ",12,2020,0,40.959698,-74.074727,1294036
"Berkeley County","SC",12,2020,0,33.2077,-79.953655,251516
"Berkeley County","WV",12,2020,0,39.447938,-78.037754,148544
"Berks County","PA",12,2020,0,40.413957,-75.92686,586629
"Berkshire County","MA",12,2020,0,42.371493,-73.217928,71557
"Bernalillo County","NM",12,2020,0,35.053628,-106.66908,1085324
"Berrien County","GA",12,2020,0,31.288652,-83.22787,28077
"Berrien County","MI",12,2020,0,41.791382,-86.742543,261402
"Bertie County","NC",12,2020,0,36.059043,-76.962364,32939
"Bexar County","TX",12,2020,0,29.448671,-98.520147,3043189
"Bibb County","AL",12,2020,0,33.015893,-87.127148,47009
"Bibb County","GA",12,2020,0,32.808845,-83.694194,273565
"Big Horn County","MT",12,2020,0,45.407868,-107.518162,60746
"Big Horn County","WY",12,2020,0,44.525117,-107.994848,19968
"Big Stone County","MN",12,2020,0,45.419925,-96.402226,12286
"Billings County","ND",12,2020,0,47.007044,-103.364016,1400
"Bingham County","ID",12,2020,0,43.216357,-112.399206,102533
"Black Hawk County","IA",12,2020,0,42.471132,-92.3076,371452
"Blackford County","IN",12,2020,0,40.472672,-85.32373,24319
"Bladen County","NC",12,2020,0,34.591938,-78.539489,49176
"Blaine County","ID",12,2020,0,43.394192,-113.955371,45770
"Blaine County","MT",12,2020,0,48.428282,-108.967648,17804
"Blaine County","NE",12,2020,0,41.931945,-99.996407,465
"Blaine County","OK",12,2020,0,35.877795,-98.429031,16863
"Blair County","PA",12,2020,0,40.498683,-78.309597,196945
"Blanco County","TX",12,2020,0,30.266456,-98.399217,7394
"Bland County","VA",12,2020,0,37.130612,-81.125853,11201
"Bleckley County","GA",12,2020,0,32.435403,-83.331717,25661
"Bledsoe County","TN",12,2020,0,35.593561,-85.20591,43007
"Blount County","AL",12,2020,0,33.977358,-86.56644,121270
"Blount County","TN",12,2020,0,35.688185,-83.922973,243552
"Blue Earth County","MN",12,2020,0,44.03371,-94.064012,145868
"Boise County","ID",12,2020,0,43.987275,-115.71511,6443
"Bolivar County","MS",12,2020,0,33.799139,-90.88412,90423
"Bollinger County","MO",12,2020,0,37.318427,-90.024645,28029
"Bon Homme County","SD",12,2020,0,42.985799,-97.884199,44352
"Bond County","IL",12,2020,0,38.885924,-89.436592,41867
"Bonner County","ID",12,2020,0,48.324634,-116.62745,46770
"Bonneville County","ID",12,2020,0,43.395171,-111.621878,288347
"Boone County","AR",12,2020,0,36.304299,-93.079236,69024
"Boone County","IA",12,2020,0,42.038623,-93.938605,51662
"Boone County","IL",12,2020,0,42.318983,-88.824295,141882
"Boone County","IN",12,2020,0,40.050892,-86.469014,113430
"Boone County","MO",12,2020,0,38.989861,-92.310202,378191
"Boone County","NE",12,2020,0,41.703934,-98.070476,11892
"Boone County","WV",12,2020,0,38.022814,-81.713538,26497
"Borden County","TX",12,2020,0,32.73859,-101.439199,425
"Bosque County","TX",12,2020,0,31.900819,-97.637641,20413
"Botetourt County","VA",12,2020,0,37.565482,-79.797546,31915
"Bottineau County","ND",12,2020,0,48.794412,-100.831257,18215
"Boulder County","CO",12,2020,0,40.094966,-105.397702,411449
"Boundary County","ID",12,2020,0,48.773131,-116.524668,14300
"Bowie County","TX",12,2020,0,33.446065,-94.422393,103153
"Bowman County","ND",12,2020,0,46.110144,-103.505943,8204
"Box Butte County","NE",12,2020,0,42.21038,-103.081779,22461
"Box Elder County","UT",12,2020,0,41.622623,-113.060252,91975
"Boyd County","NE",12,2020,0,42.894448,-98.773022,4793
"Bradford County","FL",12,2020,0,29.952386,-82.166698,53747
"Bradford County","PA",12,2020,0,41.791504,-76.502123,78286
"Bradley County","AR",12,2020,0,33.466549,-92.169156,22763
"Bradley County","TN",12,2020,0,35.153914,-84.859414,227351
"Branch County","MI",12,2020,0,41.918455,-85.066885,111292
"Brantley County","GA",12,2020,0,31.197334,-81.982978,28340
"Braxton County","WV",12,2020,0,38.69933,-80.73166,6125
"Brazoria County","TX",12,2020,0,29.167817,-95.434647,549704
"Brazos County","TX",12,2020,0,30.656713,-96.302394,394245
"Bremer County","IA",12,2020,0,42.780895,-92.327356,66417
"Brevard County","FL",12,2020,17044,28.298311,-80.700333,568114
"Brewster County","TX",12,2020,0,29.808997,-103.252458,24715
"Briscoe County","TX",12,2020,0,34.525172,-101.205893,2168
"Bristol County","MA",12,2020,0,41.748588,-71.088894,848804
"Bristol County","RI",12,2020,0,41.70684,-71.286687,53888
"Broadwater County","MT",12,2020,0,46.329849,-111.497873,7861
"Brooke County","WV",12,2020,0,40.272645,-80.578691,32637
"Brookings County","SD",12,2020,0,44.376675,-96.797797,85077
"Brooks County","GA",12,2020,0,30.822934,-83.581905,26471
"Brooks County","TX",12,2020,0,27.034994,-98.215276,15782
"Broome County","NY",12,2020,0,42.161977,-75.830283,208837
"Broomfield County","CO",12,2020,0,39.953593,-105.050787,77235
"Broward County","FL",12,2020,71743,26.193535,-80.476683,3812073
"Brown County","IL",12,2020,0,39.962069,-90.750309,12185
"Brown County","IN",12,2020,0,39.195113,-86.230121,17530
"Brown County","MN",12,2020,0,44.246541,-94.733647,56441
"Brown County","NE",12,2020,0,42.359562,-99.92392,5991
"Brown County","OH",12,2020,0,38.931377,-83.866772,56518
"Brown County","SD",12,2020,0,45.589254,-98.352175,127015
"Brown County","TX",12,2020,0,31.764137,-98.998456,70473
"Brown County","WI",12,2020,0,44.474024,-87.99613,800650
"Brule County","SD",12,2020,0,43.729873,-99.092909,18934
"Brunswick County","NC",12,2020,0,34.038754,-78.227765,115444
"Brunswick County","VA",12,2020,0,36.764204,-77.861483,16789
"Bryan County","GA",12,2020,0,32.017969,-81.438543,53102
"Bryan County","OK",12,2020,0,33.964004,-96.265135,104504
"Buchanan County","IA",12,2020,0,42.470328,-91.838666,41488
"Buchanan County","MO",12,2020,0,39.660369,-94.808173,231359
"Buchanan County","VA",12,2020,0,37.26812,-82.038151,18990
"Buckingham County","VA",12,2020,0,37.573928,-78.529169,35486
"Bucks County","PA",12,2020,0,40.336887,-75.10706,768966
"Buena Vista County","IA",12,2020,0,42.741522,-95.141432,106321
"Buffalo County","NE",12,2020,0,40.855265,-99.074984,125218
"Buffalo County","SD",12,2020,0,44.044306,-99.203998,12413
"Buffalo County","WI",12,2020,0,44.385633,-91.761294,28818
"Bulloch County","GA",12,2020,0,32.394481,-81.741618,125840
"Bullock County","AL",12,2020,0,32.101759,-85.717261,23348
"Buncombe County","NC",12,2020,0,35.609371,-82.530423,227475
"Bureau County","IL",12,2020,0,41.401304,-89.528377,78184
"Burke County","GA",12,2020,0,33.060181,-82.000164,43655
"Burke County","NC",12,2020,0,35.746182,-81.70618,160693
"Burke County","ND",12,2020,0,48.786453,-102.520087,5920
"Burleigh County","ND",12,2020,0,46.978829,-100.469533,405531
"Burleson County","TX",12,2020,0,30.493487,-96.622091,25533
"Burlington County","NJ",12,2020,0,39.875786,-74.663006,546469
"Burnet County","TX",12,2020,0,30.78963,-98.201187,53899
"Burnett County","WI",12,2020,0,45.866897,-92.37573,31206
"Burt County","NE",12,2020,0,41.854179,-96.337746,15298
"Butler County","AL",12,2020,0,31.751667,-86.681969,41741
"Butler County","IA",12,2020,0,42.734757,-92.780153,36216
"Butler County","MO",12,2020,0,36.71518,-90.40313,79294
"Butler County","NE",12,2020,0,41.226072,-97.132039,21511
"Butler County","OH",12,2020,0,39.439747,-84.565734,675342
"Butler County","PA",12,2020,0,40.913847,-79.918978,216482
"Butte County","CA",12,2020,0,39.665336,-121.603209,175254
"Butte County","ID",12,2020,0,43.685101,-113.177631,4523
"Butte County","SD",12,2020,0,44.896226,-103.501436,25184
"Butts County","GA",12,2020,0,33.290355,-83.958221,42803
"Cabarrus County","NC",12,2020,0,35.388346,-80.552728,282054
"Cabell County","WV",12,2020,0,38.419578,-82.243397,127573
"Cache County","UT",12,2020,0,41.734118,-111.745394,299810
"Caddo County","OK",12,2020,0,35.16792,-98.381045,74995
"Calaveras County","CA",12,2020,0,38.191068,-120.554107,25150
"Caldwell County","MO",12,2020,0,39.658998,-93.979179,14788
"Caldwell County","NC",12,2020,0,35.966396,-81.51254,145100
"Caldwell County","TX",12,2020,0,29.832399,-97.628141,66431
"Caledonia County","VT",12,2020,0,44.468791,-72.112168,6051
"Calhoun County","AL",12,2020,0,33.770516,-85.827909,252416
"Calhoun County","AR",12,2020,0,33.56046,-92.513879,5817
"Calhoun County","FL",12,2020,0,30.388801,-85.197915,32042
"Calhoun County","GA",12,2020,0,31.521279,-84.62629,10536
"Calhoun County","IA",12,2020,0,42.38617,-94.643683,35307
"Calhoun County","IL",12,2020,0,39.164262,-90.666295,10310
"Calhoun County","MI",12,2020,0,42.24299,-85.012385,222013
"Calhoun County","MS",12,2020,0,33.936634,-89.337114,29729
"Calhoun County","SC",12,2020,0,33.67478,-80.780347,20912
"Calhoun County","TX",12,2020,0,28.441719,-96.579574,34458
"Calhoun County","WV",12,2020,0,38.844159,-81.115478,3311
"Callahan County","TX",12,2020,0,32.29315,-99.372249,16365
"Callaway County","MO",12,2020,0,38.835547,-91.923446,104264
"Calumet County","WI",12,2020,0,44.07841,-88.212132,145561
"Camas County","ID",12,2020,0,43.502552,-114.772135,1729
"Cambria County","PA",12,2020,0,40.510227,-78.710477,221776
"Camden County","GA",12,2020,0,30.913358,-81.642019,66855
"Camden County","MO",12,2020,0,38.026527,-92.765327,87806
"Camden County","NC",12,2020,0,36.342344,-76.162488,7282
"Camden County","NJ",12,2020,0,39.802407,-74.961249,758474
"Cameron County","PA",12,2020,0,41.438291,-78.198323,2624
"Cameron County","TX",12,2020,0,26.102923,-97.478958,863587
"Camp County","TX",12,2020,0,32.974581,-94.979085,19522
"Campbell County","SD",12,2020,0,45.785575,-100.002107,3381
"Campbell County","TN",12,2020,0,36.401592,-84.159249,66676
"Campbell County","VA",12,2020,0,37.210152,-79.095428,49625
"Campbell County","WY",12,2020,0,44.191999,-105.517014,113449
"Canadian County","OK",12,2020,0,35.543354,-97.979889,277592
"Candler County","GA",12,2020,0,32.40395,-82.071266,19956
"Cannon County","TN",12,2020,0,35.808394,-86.062404,34108
"Canyon County","ID",12,2020,0,43.625796,-116.709058,572524
"Cape Girardeau County","MO",12,2020,0,37.384141,-89.685658,211164
"Cape May County","NJ",12,2020,0,39.085841,-74.846354,63441
"Carbon County","MT",12,2020,0,45.224468,-109.028554,20074
"Carbon County","PA",12,2020,0,40.918367,-75.705039,64281
"Carbon County","UT",12,2020,0,39.673284,-110.588484,29710
"Carbon County","WY",12,2020,0,41.70359,-106.933153,26514
"Caribou County","ID",12,2020,0,42.786072,-111.544273,14960
"Carlton County","MN",12,2020,0,46.603818,-92.671044,73006
"Caroline County","VA",12,2020,0,38.028033,-77.353736,25906
"Carroll County","AR",12,2020,0,36.33737,-93.540972,55937
"Carroll County","GA",12,2020,0,33.582237,-85.080527,206966
"Carroll County","IA",12,2020,0,42.039502,-94.86765,68234
"Carroll County","IL",12,2020,0,42.0709,-89.924189,38076
"Carroll County","IN",12,2020,0,40.58498,-86.565141,33235
"Carroll County","MO",12,2020,0,39.427375,-93.500227,17376
"Carroll County","MS",12,2020,0,33.440795,-89.918887,26537
"Carroll County","NH",12,2020,0,43.867774,-71.20156,20354
"Carroll County","OH",12,2020,0,40.579884,-81.090787,26758
"Carroll County","TN",12,2020,0,35.965748,-88.452379,70701
"Carroll County","VA",12,2020,0,36.731963,-80.727831,38957
"Carson County","TX",12,2020,0,35.405496,-101.355356,6788
"Carter County","MO",12,2020,0,36.944858,-90.945705,10643
"Carter County","MT",12,2020,0,45.516825,-104.515324,4028
"Carter County","OK",12,2020,0,34.251848,-97.287927,68362
"Carter County","TN",12,2020,0,36.284744,-82.126593,114104
"Carteret County","NC",12,2020,0,34.858343,-76.53586,69798
"Carver County","MN",12,2020,0,44.82132,-93.800091,182644
"Cascade County","MT",12,2020,0,47.316575,-111.350262,187599
"Cass County","IA",12,2020,0,41.333824,-94.933302,29252
"Cass County","IL",12,2020,0,39.969202,-90.245704,41195
"Cass County","IN",12,2020,0,40.753799,-86.355168,115560
"Cass County","MI",12,2020,0,41.917243,-86.000142,86664
"Cass County","MN",12,2020,0,46.951745,-94.333705,54526
"Cass County","MO",12,2020,0,38.646474,-94.354547,149800
"Cass County","ND",12,2020,0,46.927003,-97.252375,581602
"Cass County","NE",12,2020,0,40.909878,-96.140609,45382
"Cass County","TX",12,2020,0,33.083698,-94.357579,33604
"Cassia County","ID",12,2020,0,42.282313,-113.626328,73839
"Castro County","TX",12,2020,0,34.533621,-102.258786,20652
"Caswell County","NC",12,2020,0,36.394298,-79.339609,30770
"Catawba County","NC",12,2020,0,35.661883,-81.214906,282847
"Catoosa County","GA",12,2020,0,34.900212,-85.139385,86279
"Catron County","NM",12,2020,0,33.901621,-108.391928,1577
"Cattaraugus County","NY",12,2020,0,42.239099,-78.662332,57172
"Cavalier County","ND",12,2020,0,48.768439,-98.46379,12346
"Cayuga County","NY",12,2020,0,43.008546,-76.574587,55063
"Cedar County","IA",12,2020,0,41.77236,-91.132611,39255
"Cedar County","MO",12,2020,0,37.733655,-93.850014,14727
"Cedar County","NE",12,2020,0,42.60456,-97.25687,15476
"Centre County","PA",12,2020,0,40.909322,-77.847667,241747
"Cerro Gordo County","IA",12,2020,0,43.074975,-93.250965,125292
"Chaffee County","CO",12,2020,0,38.734599,-106.300025,26607
"Chambers County","AL",12,2020,0,32.915504,-85.394032,64015
"Chambers County","TX",12,2020,0,29.696374,-94.669445,74535
"Champaign County","IL",12,2020,0,40.138985,-88.196975,390529
"Champaign County","OH",12,2020,0,40.132775,-83.767604,47863
"Chariton County","MO",12,2020,0,39.517968,-92.96162,8930
"Charles City County","VA",12,2020,0,37.361054,-77.05417,5113
"Charles Mix County","SD",12,2020,0,43.206185,-98.595143,31878
"Charleston County","SC",12,2020,0,32.800458,-79.94248,683283
