"Recip_County","Recip_State","Lat","Long","Cases"
"Beadle County","SD",44.418265,-98.279422,1767709
"Bear Lake County","ID",42.285892,-111.327517,299914
"Beaufort County","NC",35.482313,-76.842014,3539974
"Beaufort County","SC",32.358112,-80.689422,12921544
"Beaver County","OK",36.748334,-100.483056,307564
"Beaver County","PA",40.68414,-80.350721,11489116
"Beaver County","UT",38.357535,-113.238948,524548
"Beaverhead County","MT",45.133863,-112.892869,680068
"Becker County","MN",46.937629,-95.741757,2703894
"Beckham County","OK",35.270601,-99.690057,1905016
"Bedford County","PA",39.998634,-78.494747,3353005
"Bedford County","TN",35.51366,-86.458294,4610777
"Bedford County","VA",37.312257,-79.527223,4851493
"Bee County","TX",28.416077,-97.742586,2608663
"Belknap County","NH",43.519109,-71.425366,3435031
"Bell County","TX",31.04275,-97.481268,18822432
"Belmont County","OH",40.017682,-80.967727,4565125
"Beltrami County","MN",47.879508,-95.00505,3314022
"Ben Hill County","GA",31.740772,-83.147197,1495122
"Benewah County","ID",47.218451,-116.633541,609947
"Bennett County","SD",43.186912,-101.677181,261476
"Bennington County","VT",43.035328,-73.111496,2010949
"Benson County","ND",48.071743,-99.351152,696259
"Bent County","CO",37.931891,-103.077584,910847
"Benton County","AR",36.337819,-94.256298,21041260
"Benton County","IA",42.092547,-92.05763,1883945
"Benton County","IN",40.600939,-87.314786,765577
"Benton County","MN",45.701225,-94.00144,4111295
"Benton County","MO",38.301036,-93.287942,1287604
"Benton County","MS",34.809593,-89.200213,726044
"Benton County","OR",44.493882,-123.424664,3232074
"Benton County","TN",36.070948,-88.071232,1315015
"Benton County","WA",46.228125,-119.516659,14634320
"Benzie County","MI",44.636844,-86.231999,941169
"Bergen County","NJ",40.959698,-74.074727,67409239
"Berkeley County","SC",33.2077,-79.953655,14521723
"Berkeley County","WV",39.447938,-78.037754,9746052
"Berks County","PA",40.413957,-75.92686,31395111
"Berkshire County","MA",42.371493,-73.217928,5529410
"Bernalillo County","NM",35.053628,-106.66908,42801969
"Berrien County","GA",31.288652,-83.22787,1527125
"Berrien County","MI",41.791382,-86.742543,10494357
"Bertie County","NC",36.059043,-76.962364,1280960
"Bexar County","TX",29.448671,-98.520147,162402384
"Bibb County","AL",33.015893,-87.127148,2006856
"Bibb County","GA",32.808845,-83.694194,11909853
"Big Horn County","MT",45.407868,-107.518162,1645857
"Big Horn County","WY",44.525117,-107.994848,862191
"Big Stone County","MN",45.419925,-96.402226,424560
"Billings County","ND",47.007044,-103.364016,43974
"Bingham County","ID",43.216357,-112.399206,3282903
"Black Hawk County","IA",42.471132,-92.3076,10899144
"Blackford County","IN",40.472672,-85.32373,983014
"Bladen County","NC",34.591938,-78.539489,2664156
"Blaine County","ID",43.394192,-113.955371,1675172
"Blaine County","MT",48.428282,-108.967648,603930
"Blaine County","NE",41.931945,-99.996407,19161
"Blaine County","OK",35.877795,-98.429031,751259
"Blair County","PA",40.498683,-78.309597,9119210
"Blanco County","TX",30.266456,-98.399217,643404
"Bland County","VA",37.130612,-81.125853,519046
"Bleckley County","GA",32.435403,-83.331717,1096743
"Bledsoe County","TN",35.593561,-85.20591,1563852
"Blount County","AL",33.977358,-86.56644,4871951
"Blount County","TN",35.688185,-83.922973,11558809
"Blue Earth County","MN",44.03371,-94.064012,5307093
"Boise County","ID",43.987275,-115.71511,315825
"Bolivar County","MS",33.799139,-90.88412,3178665
"Bollinger County","MO",37.318427,-90.024645,840834
"Bon Homme County","SD",42.985799,-97.884199,918068
"Bond County","IL",38.885924,-89.436592,1397724
"Bonner County","ID",48.324634,-116.62745,2590420
"Bonneville County","ID",43.395171,-111.621878,10011319
"Boone County","AR",36.304299,-93.079236,2987442
"Boone County","IA",42.038623,-93.938605,1809776
"Boone County","IL",42.318983,-88.824295,4469020
"Boone County","IN",40.050892,-86.469014,4771846
"Boone County","MO",38.989861,-92.310202,13491582
"Boone County","NE",41.703934,-98.070476,372399
"Boone County","WV",38.022814,-81.713538,1734080
"Borden County","TX",32.73859,-101.439199,24194
"Bosque County","TX",31.900819,-97.637641,1210848
"Botetourt County","VA",37.565482,-79.797546,1997174
"Bottineau County","ND",48.794412,-100.831257,512449
"Boulder County","CO",40.094966,-105.397702,17533735
"Boundary County","ID",48.773131,-116.524668,661342
"Bowie County","TX",33.446065,-94.422393,5827498
"Bowman County","ND",46.110144,-103.505943,280788
"Box Butte County","NE",42.21038,-103.081779,718166
"Box Elder County","UT",41.622623,-113.060252,4220860
"Boyd County","NE",42.894448,-98.773022,131433
"Bradford County","FL",29.952386,-82.166698,2388590
"Bradford County","PA",41.791504,-76.502123,4276071
"Bradley County","AR",33.466549,-92.169156,981452
"Bradley County","TN",35.153914,-84.859414,10498083
"Branch County","MI",41.918455,-85.066885,3876675
"Brantley County","GA",31.197334,-81.982978,1323762
"Braxton County","WV",38.69933,-80.73166,965354
"Brazoria County","TX",29.167817,-95.434647,28439346
"Brazos County","TX",30.656713,-96.302394,18641793
"Bremer County","IA",42.780895,-92.327356,1893898
"Brevard County","FL",28.298311,-80.700333,36896676
"Brewster County","TX",29.808997,-103.252458,519561
"Briscoe County","TX",34.525172,-101.205893,124456
"Bristol County","MA",41.748588,-71.088894,45054373
"Bristol County","RI",41.70684,-71.286687,3612374
"Broadwater County","MT",46.329849,-111.497873,383062
"Brooke County","WV",40.272645,-80.578691,1557953
"Brookings County","SD",44.376675,-96.797797,2708051
"Brooks County","GA",30.822934,-83.581905,1093273
"Brooks County","TX",27.034994,-98.215276,552008
"Broome County","NY",42.161977,-75.830283,13207765
"Broomfield County","CO",39.953593,-105.050787,3670306
"Broward County","FL",26.193535,-80.476683,179275116
"Brown County","IL",39.962069,-90.750309,613610
"Brown County","IN",39.195113,-86.230121,782291
"Brown County","MN",44.246541,-94.733647,2079830
"Brown County","NE",42.359562,-99.92392,171070
"Brown County","OH",38.931377,-83.866772,3198520
"Brown County","SD",45.589254,-98.352175,3567404
"Brown County","TX",31.764137,-98.998456,3398347
"Brown County","WI",44.474024,-87.99613,25594831
"Brule County","SD",43.729873,-99.092909,476813
"Brunswick County","NC",34.038754,-78.227765,7872522
"Brunswick County","VA",36.764204,-77.861483,925939
"Bryan County","GA",32.017969,-81.438543,2821287
"Bryan County","OK",33.964004,-96.265135,4324014
"Buchanan County","IA",42.470328,-91.838666,1421666
"Buchanan County","MO",39.660369,-94.808173,7896384
"Buchanan County","VA",37.26812,-82.038151,1253543
"Buckingham County","VA",37.573928,-78.529169,1342917
"Bucks County","PA",40.336887,-75.10706,38761764
"Buena Vista County","IA",42.741522,-95.141432,2550546
"Buffalo County","NE",40.855265,-99.074984,3852177
"Buffalo County","SD",44.044306,-99.203998,250987
"Buffalo County","WI",44.385633,-91.761294,1050453
"Bulloch County","GA",32.394481,-81.741618,5088555
"Bullock County","AL",32.101759,-85.717261,793477
"Buncombe County","NC",35.609371,-82.530423,14137063
"Bureau County","IL",41.401304,-89.528377,2568014
"Burke County","GA",33.060181,-82.000164,1782282
"Burke County","NC",35.746182,-81.70618,7498739
"Burke County","ND",48.786453,-102.520087,157374
"Burleigh County","ND",46.978829,-100.469533,11252665
"Burleson County","TX",30.493487,-96.622091,1595794
"Burlington County","NJ",39.875786,-74.663006,30261070
"Burnet County","TX",30.78963,-98.201187,3404800
"Burnett County","WI",45.866897,-92.37573,1174697
"Burt County","NE",41.854179,-96.337746,438465
"Butler County","AL",31.751667,-86.681969,1607077
"Butler County","IA",42.734757,-92.780153,1104579
"Butler County","MO",36.71518,-90.40313,3157781
"Butler County","NE",41.226072,-97.132039,602330
"Butler County","OH",39.439747,-84.565734,27800820
"Butler County","PA",40.913847,-79.918978,12890076
"Butte County","CA",39.665336,-121.603209,11007616
"Butte County","ID",43.685101,-113.177631,156832
"Butte County","SD",44.896226,-103.501436,855050
"Butts County","GA",33.290355,-83.958221,2159987
"Cabarrus County","NC",35.388346,-80.552728,16262033
"Cabell County","WV",38.419578,-82.243397,7375118
"Cache County","UT",41.734118,-111.745394,11457511
"Caddo County","OK",35.16792,-98.381045,2674834
"Calaveras County","CA",38.191068,-120.554107,1963334
"Caldwell County","MO",39.658998,-93.979179,563112
"Caldwell County","NC",35.966396,-81.51254,6721126
"Caldwell County","TX",29.832399,-97.628141,4148959
"Caledonia County","VT",44.468791,-72.112168,1103854
"Calhoun County","AL",33.770516,-85.827909,10417758
"Calhoun County","AR",33.56046,-92.513879,295104
"Calhoun County","FL",30.388801,-85.197915,1333072
"Calhoun County","GA",31.521279,-84.62629,423205
"Calhoun County","IA",42.38617,-94.643683,924803
"Calhoun County","IL",39.164262,-90.666295,417547
"Calhoun County","MI",42.24299,-85.012385,9955470
"Calhoun County","MS",33.936634,-89.337114,1357734
"Calhoun County","SC",33.67478,-80.780347,891999
"Calhoun County","TX",28.441719,-96.579574,1759760
"Calhoun County","WV",38.844159,-81.115478,420121
"Callahan County","TX",32.29315,-99.372249,876954
"Callaway County","MO",38.835547,-91.923446,3770304
"Calumet County","WI",44.07841,-88.212132,4583829
"Camas County","ID",43.502552,-114.772135,49879
"Cambria County","PA",40.510227,-78.710477,10277502
"Camden County","GA",30.913358,-81.642019,3422925
"Camden County","MO",38.026527,-92.765327,3072489
"Camden County","NC",36.342344,-76.162488,515760
"Camden County","NJ",39.802407,-74.961249,37580087
"Cameron County","PA",41.438291,-78.198323,236792
"Cameron County","TX",26.102923,-97.478958,31452300
"Camp County","TX",32.974581,-94.979085,926931
"Campbell County","SD",45.785575,-100.002107,89901
"Campbell County","TN",36.401592,-84.159249,3375037
"Campbell County","VA",37.210152,-79.095428,3452626
"Campbell County","WY",44.191999,-105.517014,3892054
"Canadian County","OK",35.543354,-97.979889,11993306
"Candler County","GA",32.40395,-82.071266,715231
"Cannon County","TN",35.808394,-86.062404,1343432
"Canyon County","ID",43.625796,-116.709058,19515701
"Cape Girardeau County","MO",37.384141,-89.685658,6469353
"Cape May County","NJ",39.085841,-74.846354,6462932
"Carbon County","MT",45.224468,-109.028554,655856
"Carbon County","PA",40.918367,-75.705039,4578796
"Carbon County","UT",39.673284,-110.588484,1453176
"Carbon County","WY",41.70359,-106.933153,1320298
"Caribou County","ID",42.786072,-111.544273,485909
"Carlton County","MN",46.603818,-92.671044,2552899
"Caroline County","VA",38.028033,-77.353736,1929812
"Carroll County","AR",36.33737,-93.540972,2049892
"Carroll County","GA",33.582237,-85.080527,7956942
"Carroll County","IA",42.039502,-94.86765,1800431
"Carroll County","IL",42.0709,-89.924189,1294276
"Carroll County","IN",40.58498,-86.565141,1358566
"Carroll County","MO",39.427375,-93.500227,718217
"Carroll County","MS",33.440795,-89.918887,852174
"Carroll County","NH",43.867774,-71.20156,2207772
"Carroll County","OH",40.579884,-81.090787,1548632
"Carroll County","TN",35.965748,-88.452379,2738847
"Carroll County","VA",36.731963,-80.727831,1945521
"Carson County","TX",35.405496,-101.355356,414092
"Carter County","MO",36.944858,-90.945705,462585
"Carter County","MT",45.516825,-104.515324,94305
"Carter County","OK",34.251848,-97.287927,4347944
"Carter County","TN",36.284744,-82.126593,4966340
"Carteret County","NC",34.858343,-76.53586,3977989
"Carver County","MN",44.82132,-93.800091,7608494
"Cascade County","MT",47.316575,-111.350262,7186929
"Cass County","IA",41.333824,-94.933302,981876
"Cass County","IL",39.969202,-90.245704,1434033
"Cass County","IN",40.753799,-86.355168,3920353
"Cass County","MI",41.917243,-86.000142,3588636
"Cass County","MN",46.951745,-94.333705,2084579
"Cass County","MO",38.646474,-94.354547,7251282
"Cass County","ND",46.927003,-97.252375,17684718
"Cass County","NE",40.909878,-96.140609,1861565
"Cass County","TX",33.083698,-94.357579,1936124
"Cassia County","ID",42.282313,-113.626328,1866227
"Castro County","TX",34.533621,-102.258786,708579
"Caswell County","NC",36.394298,-79.339609,1572117
"Catawba County","NC",35.661883,-81.214906,14164534
"Catoosa County","GA",34.900212,-85.139385,4567112
"Catron County","NM",33.901621,-108.391928,101032
"Cattaraugus County","NY",42.239099,-78.662332,4286723
"Cavalier County","ND",48.768439,-98.46379,284254
"Cayuga County","NY",43.008546,-76.574587,4628827
"Cedar County","IA",41.77236,-91.132611,1309291
"Cedar County","MO",37.733655,-93.850014,852370
"Cedar County","NE",42.60456,-97.25687,523728
"Centre County","PA",40.909322,-77.847667,10957050
"Cerro Gordo County","IA",43.074975,-93.250965,3714139
"Chaffee County","CO",38.734599,-106.300025,1265261
"Chambers County","AL",32.915504,-85.394032,2700633
"Chambers County","TX",29.696374,-94.669445,3805549
"Champaign County","IL",40.138985,-88.196975,16543904
"Champaign County","OH",40.132775,-83.767604,2568134
"Chariton County","MO",39.517968,-92.96162,512669
"Charles City County","VA",37.361054,-77.05417,347074
"Charles Mix County","SD",43.206185,-98.595143,948755
"Charleston County","SC",32.800458,-79.94248,32621814
"Charlevoix County","MI",45.618554,-85.543684,1315197
"Charlotte County","FL",26.906396,-82.003657,10460686
"Charlotte County","VA",37.009042,-78.658568,661689
"Charlton County","GA",30.779904,-82.139644,1044709
"Chase County","NE",40.53039,-101.694192,284215
"Chatham County","GA",31.980404,-81.085184,18469276
"Chatham County","NC",35.704994,-79.251454,3574628
"Chattahoochee County","GA",32.347445,-84.788021,2630346
"Chattooga County","GA",34.474178,-85.345289,2107441
"Chautauqua County","NY",42.304216,-79.407595,6673503
"Chaves County","NM",33.361604,-104.469837,6763179
"Cheatham County","TN",36.255169,-87.100808,3333887
"Cheboygan County","MI",45.476022,-84.495431,1333485
"Chelan County","WA",47.860974,-120.619041,5646042
"Chemung County","NY",42.148697,-76.752471,5957748
"Chenango County","NY",42.478024,-75.602241,2550853
"Cherokee County","AL",34.069515,-85.654242,1499360
"Cherokee County","GA",34.244317,-84.475057,21069495
"Cherokee County","IA",42.742737,-95.633262,1031923
"Cherokee County","NC",35.13715,-84.061449,2064856
"Cherokee County","OK",35.904367,-94.996796,4323010
"Cherokee County","SC",35.049796,-81.607647,4515580
"Cherokee County","TX",31.843881,-95.156343,2938788
"Cherry County","NE",42.571323,-101.047653,210449
"Cheshire County","NH",42.92546,-72.248183,3407996
"Chester County","PA",39.974029,-75.749751,27393642
"Chester County","SC",34.689342,-81.161249,3060161
"Chester County","TN",35.420253,-88.611353,1693344
"Chesterfield County","SC",34.637018,-80.159227,3513275
"Chesterfield County","VA",37.378434,-77.585847,20500739
"Cheyenne County","CO",38.835646,-102.601791,97831
"Cheyenne County","NE",41.214236,-103.011929,653806
"Chickasaw County","IA",43.059741,-92.31721,870118
"Chickasaw County","MS",33.933277,-88.947558,1613909
"Chicot County","AR",33.267139,-91.297158,1033226
"Childress County","TX",34.524624,-100.208166,885056
"Chilton County","AL",32.854051,-86.726607,3292811
"Chippewa County","MI",46.321819,-84.52063,3657016
"Chippewa County","MN",45.028625,-95.564108,1020502
"Chippewa County","WI",45.069092,-91.283505,5722946
"Chisago County","MN",45.505444,-92.903849,4386167
"Chittenden County","VT",44.463329,-73.06941,6741014
"Choctaw County","AL",31.990954,-88.248889,511250
"Choctaw County","MS",33.345964,-89.251332,635305
"Choctaw County","OK",34.027699,-95.554079,1246567
"Chouteau County","MT",47.886834,-110.4362,339025
"Chowan County","NC",36.128979,-76.602752,1158978
"Christian County","IL",39.545524,-89.279593,2894239
"Christian County","MO",36.969739,-93.187614,6666579
"Churchill County","NV",39.53771,-118.264166,1796195
"Cibola County","NM",34.928272,-107.99268,2426211
"Cimarron County","OK",36.74839,-102.517698,162851
"Citrus County","FL",28.850292,-82.595552,8983058
"Clackamas County","OR",45.160493,-122.195127,15442303
"Claiborne County","MS",31.97281,-90.915424,696087
"Claiborne County","TN",36.501572,-83.660698,2530603
"Clallam County","WA",48.110903,-123.88986,2287122
"Clare County","MI",43.991137,-84.838325,1867137
"Clarendon County","SC",33.664682,-80.217889,2527522
"Clarion County","PA",41.198159,-79.420369,2427615
"Clark County","AR",34.053316,-93.176208,1614767
"Clark County","ID",44.290218,-112.354613,39177
"Clark County","IL",39.332334,-87.791683,1405451
"Clark County","IN",38.476217,-85.711122,9524083
"Clark County","MO",40.407275,-91.729472,495818
"Clark County","NV",36.21413,-115.014398,172418182
"Clark County","OH",39.917032,-83.783676,10401461
"Clark County","SD",44.855211,-97.724912,276531
"Clark County","WA",45.77173,-122.485953,21593226
"Clark County","WI",44.739346,-90.609953,2552698
"Clarke County","AL",31.685521,-87.818624,2380619
"Clarke County","GA",33.952185,-83.367152,10072014
"Clarke County","IA",41.029726,-93.785259,720357
"Clarke County","MS",32.045374,-88.687976,1351067
"Clarke County","VA",39.115307,-77.990748,724072
"Clatsop County","OR",46.024509,-123.705037,1118854
"Clay County","AL",33.2704,-85.863525,1210223
"Clay County","AR",36.367302,-90.418704,1312015
"Clay County","FL",29.986584,-81.865036,15657310
"Clay County","GA",31.619831,-84.992583,166955
"Clay County","IA",43.081224,-95.149875,1397133
"Clay County","IL",38.746819,-88.482325,1324380
"Clay County","IN",39.393928,-87.115858,2072657
"Clay County","MN",46.898377,-96.494901,5805460
"Clay County","MO",39.315551,-94.421502,7930498
"Clay County","MS",33.65967,-88.782468,1490985
"Clay County","NC",35.052997,-83.752264,718724
"Clay County","NE",40.523669,-98.050858,491998
"Clay County","SD",42.91615,-96.980468,1216354
"Clay County","TN",36.545749,-85.545717,747389
"Clay County","TX",33.785904,-98.212917,710765
"Clay County","WV",38.459826,-81.081866,561823
"Clayton County","GA",33.551603,-84.412868,19452503
"Clayton County","IA",42.840985,-91.323576,1160092
"Clear Creek County","CO",39.689403,-105.670783,402562
"Clearfield County","PA",41.006862,-78.477724,5781376
"Clearwater County","ID",46.67257,-115.6535,762425
"Clearwater County","MN",47.575873,-95.371117,654993
"Cleburne County","AL",33.671964,-85.516126,1130659
"Cleburne County","AR",35.566315,-92.05995,1797343
"Clermont County","OH",39.052054,-84.149485,14968825
"Cleveland County","AR",33.893201,-92.188714,704415
"Cleveland County","NC",35.33463,-81.557114,8766877
"Cleveland County","OK",35.206376,-97.323088,22818488
"Clinch County","GA",30.917653,-82.702614,692475
"Clinton County","IA",41.898073,-90.534243,3762853
"Clinton County","IL",38.606295,-89.426228,3906675
"Clinton County","IN",40.305944,-86.477567,3003703
"Clinton County","MI",42.950455,-84.591695,5653588
"Clinton County","MO",39.608723,-94.395803,1465293
"Clinton County","NY",44.752712,-73.705643,3987148
"Clinton County","OH",39.416681,-83.804583,2968594
"Clinton County","PA",41.239508,-77.629009,2624770
"Coahoma County","MS",34.230316,-90.60401,2082273
"Coal County","OK",34.582861,-96.288039,509996
"Cobb County","GA",33.939929,-84.574121,54824479
"Cochise County","AZ",31.840129,-109.775163,8862253
"Cochran County","TX",33.60844,-102.830449,241454
"Cocke County","TN",35.916198,-83.119224,3436584
"Coconino County","AZ",35.829692,-111.773728,12786087
"Codington County","SD",44.966285,-97.198837,2911097
"Coffee County","AL",31.402258,-85.989602,4277870
"Coffee County","GA",31.549245,-82.84494,3761887
"Coffee County","TN",35.488765,-86.078202,5115945
"Coke County","TX",31.87711,-100.635231,311988
"Colbert County","AL",34.703112,-87.801457,4759052
"Cole County","MO",38.503233,-92.280027,6653675
"Coleman County","TX",31.914205,-99.346622,527928
"Coles County","IL",39.51368,-88.220782,4376269
"Colfax County","NE",41.57496,-97.088945,990239
"Colfax County","NM",36.612964,-104.64011,763864
"Colleton County","SC",32.835018,-80.655244,2686943
"Collier County","FL",26.118786,-81.400955,26465045
"Collin County","TX",33.194494,-96.579428,64317589
"Collingsworth County","TX",34.963358,-100.272135,214446
"Colorado County","TX",29.596296,-96.508935,1215057
"Colquitt County","GA",31.189707,-83.769773,3622283
"Columbia County","AR",33.223038,-93.232843,1689351
"Columbia County","FL",30.221651,-82.623371,6648316
"Columbia County","GA",33.552075,-82.249608,11790759
"Columbia County","NY",42.247696,-73.626718,2862634
"Columbia County","OR",45.941932,-123.081079,1832316
"Columbia County","PA",41.045517,-76.40426,4248610
"Columbia County","WA",46.29285,-117.911634,151741
"Columbia County","WI",43.471882,-89.330472,4427490
"Columbiana County","OH",40.770073,-80.778455,7155784
"Columbus County","NC",34.261602,-78.639308,4813929
"Colusa County","CA",39.177739,-122.237563,1513202
"Comal County","TX",29.812377,-98.258129,9217934
"Comanche County","OK",34.66263,-98.476612,9936616
"Comanche County","TX",31.951645,-98.549617,1079894
"Concho County","TX",31.318883,-99.863649,326401
"Conecuh County","AL",31.430926,-86.988722,885996
"Conejos County","CO",37.213406,-106.176447,485872
"Contra Costa County","CA",37.919479,-121.951543,54614510
"Converse County","WY",42.984623,-105.524752,926320
"Conway County","AR",35.265702,-92.689248,1640110
"Cook County","GA",31.152516,-83.429445,1550402
"Cook County","IL",41.894294,-87.645455,362474722
"Cook County","MN",47.758556,-90.344319,140717
"Cooke County","TX",33.639196,-97.210343,2472007
"Cooper County","MO",38.847093,-92.810069,1374809
"Coos County","NH",44.652548,-71.289431,1709239
"Coos County","OR",43.18591,-124.094133,2418988
"Coosa County","AL",32.931445,-86.243482,843415
"Copiah County","MS",31.866915,-90.448758,2220375
"Corson County","SD",45.685671,-101.179665,346944
"Cortland County","NY",42.594039,-76.07624,2935768
"Coryell County","TX",31.391177,-97.798022,5238930
"Coshocton County","OH",40.29671,-81.930109,2266395
"Costilla County","CO",37.277547,-105.42894,187735
"Cottle County","TX",34.091906,-100.276442,115048
"Cotton County","OK",34.290676,-98.373438,468398
"Cottonwood County","MN",44.010639,-95.183152,1067268
"Covington County","AL",31.243987,-86.448721,3098154
"Covington County","MS",31.633331,-89.548897,2103455
